"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C7,C8,C11,C12,C4,C13,C16";"c_0805";8;"100nF";;;
2;"L1";"Inductor_SMD1";1;"4u7H,1.2A";;;
3;"R1,R2,R9,R6";"r_0805";4;"2k2";;;
4;"R3";"r_0805";1;"2k";;;
5;"R4,R8";"r_0805";2;"2M";;;
6;"R5,R19,R20";"r_0805";3;"100k";;;
7;"R10";"r_0805";1;"470E";;;
8;"R11";"r_0805";1;"1k5";;;
9;"R12,R13";"r_0805";2;"220k";;;
10;"R14,R21";"r_0805";2;"1k";;;
11;"SJ1";"ShortLink";1;"BAT";;;
12;"SW1";"SW_PB_V_H";1;"ON_OFF";;;
13;"U1";"MCP73831";1;"MCP73831";;;
14;"C15,C17";"c_0805";2;"1uF";;;
15;"D2";"diode-DO214AA";1;"SMBJ5.0CA";;;
16;"D3";"led_0805";1;"DIS";;;
17;"D4";"led_0805";1;"CHG";;;
18;"D6";"led_0805";1;"BAT";;;
19;"D7";"led_0805";1;"5V_OUT";;;
20;"D9";"diode-DO214BA";1;"LSM115J";;;
21;"F1";"f_1206";1;"NANOSMDC110F";;;
22;"J2";"CONN_JST-2_SMD";1;"LiPo_JST";;;
23;"J4";"Header_3";1;"Auto_On";;;
24;"J6";"Header_2";1;"5V_EXT";;;
25;"J7";"Header_2";1;"5V_OUT";;;
26;"J8";"Header_2";1;"VBAT";;;
27;"J9";"Header_2";1;"5V_BAT";;;
28;"J10";"Header_2";1;"5V_Pi";;;
29;"P2";"JACK_ALIM";1;"V_IN";;;
30;"Q2";"SO8E";1;"IRF7319";;;
31;"R15";"r_0805";1;"150E";;;
32;"R16,R17,R18";"r_0805";3;"10k";;;
33;"R22";"r_0805";1;"300k";;;
34;"SJ3";"ShortLink";1;"D0";;;
35;"SJ4";"ShortLink";1;"D1";;;
36;"TP1";"Breakout";1;"TP";;;
37;"J1";"USB_B_Micro";1;"MicroUSB_in";;;
38;"U4";"TPS61200_QFN10";1;"TPS61200";;;
39;"J3";"USB_A";1;"USB_A_out";;;
40;"U3";"TPS2115_SON";1;"TPS2115A";;;
41;"U5";"MAX17040_TDFN";1;"MAX17040";;;
42;"H1,H2";"vite_3mm";2;"MH";;;
43;"J5";"Header_2";1;"5V_USB";;;
44;"PCB1";"PCB";1;"PCB";;;
45;"P1";"Header_GPIO_3";1;"RASPI_GPIO";;;
46;"C2,C5,C6,C9,C10,C14,C18";"c_1206";7;"10uF X7R";;;
47;"C3";"c_1210";1;"22uF X7R";;;
48;"D8";"led_0805";1;"5V_Pi";;;
49;"J12";"Header_3";1;"5V_IN";;;
50;"R23";"r_0805";1;"470k";;;
51;"SJ2";"ShortLink";1;"5V_OUT";;;
52;"SJ5";"ShortLink2";1;"STAT";;;
53;"L2";"Inductor_SMD2";1;"2u2H,1.9A";;;
54;"U2";"TPS62163_DSG";1;"TPS62163";;;
55;"J11";"Header2x2";1;"12V_Out";;;
56;"SJ6";"ShortLink";1;"5V_Pi";;;
